id,user,uid,version,changeset,timestamp
5583131,Dr Kludge,292665,5,28900374,2015-02-17T04:35:28Z
5583504,AJ Riley,157922,3,12576189,2012-08-01T16:23:42Z
5583694,TheDutchMan13,1330847,17,69893594,2019-05-05T03:38:50Z
5583833,AJ Riley,157922,4,31537813,2015-05-28T17:28:00Z
5583839,AJ Riley,157922,5,31537813,2015-05-28T17:28:00Z
5584410,AJ Riley,157922,4,31537813,2015-05-28T17:28:00Z
5584411,AJ Riley,157922,4,31537813,2015-05-28T17:28:01Z
5584412,AJ Riley,157922,4,31537813,2015-05-28T17:28:01Z
5584664,AJ Riley,157922,2,12704554,2012-08-12T17:43:07Z
5585043,AJ Riley,157922,4,31537813,2015-05-28T17:28:01Z
5585044,AJ Riley,157922,2,12704554,2012-08-12T17:43:15Z
5585045,AJ Riley,157922,2,12704554,2012-08-12T17:43:12Z
5585154,Dr Kludge,292665,5,28900374,2015-02-17T04:33:44Z
5585534,AJ Riley,157922,2,12704554,2012-08-12T17:43:06Z
5585535,AJ Riley,157922,2,12704554,2012-08-12T17:43:14Z
5585537,AJ Riley,157922,2,12704554,2012-08-12T17:43:10Z
5585538,AJ Riley,157922,2,12704554,2012-08-12T17:43:08Z
5586096,AJ Riley,157922,2,12704554,2012-08-12T17:43:12Z
5586097,AJ Riley,157922,2,12704554,2012-08-12T17:43:07Z
5586099,AJ Riley,157922,2,12704554,2012-08-12T17:43:15Z
5586332,AJ Riley,157922,3,12576189,2012-08-01T16:24:24Z
5586409,AJ Riley,157922,3,12576189,2012-08-01T16:23:21Z
5586496,AJ Riley,157922,2,12718488,2012-08-13T19:31:31Z
5586497,AJ Riley,157922,2,12718488,2012-08-13T19:31:31Z
5586550,AJ Riley,157922,2,12704554,2012-08-12T17:43:08Z
5586552,AJ Riley,157922,2,12704554,2012-08-12T17:43:17Z
5586553,AJ Riley,157922,2,12704554,2012-08-12T17:43:13Z
5586671,AJ Riley,157922,7,12572674,2012-08-01T10:54:56Z
5586684,AJ Riley,157922,4,12572674,2012-08-01T10:54:41Z
5586745,Dr Kludge,292665,4,28900374,2015-02-17T04:35:46Z
5586782,bogdan_andrei,4433679,3,52034552,2017-09-14T11:43:32Z
5586887,rekulc1,10114014,4,81450547,2020-02-25T10:49:12Z
5586904,TheDutchMan13,1330847,5,49092404,2017-05-30T05:39:40Z
5586944,Dr Kludge,292665,3,28900374,2015-02-17T04:27:52Z
5587000,AJ Riley,157922,2,12725129,2012-08-14T10:38:01Z
5587153,Dr Kludge,292665,3,28900374,2015-02-17T04:35:35Z
5587154,Dr Kludge,292665,4,28900374,2015-02-17T04:35:29Z
5587289,Dr Kludge,292665,4,28900374,2015-02-17T04:31:19Z
5587297,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:46Z
5587570,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:47Z
5587654,Dr Kludge,292665,5,28900374,2015-02-17T04:31:00Z
5587663,AJ Riley,157922,5,12576189,2012-08-01T16:22:04Z
5587777,TheDutchMan13,1330847,11,49091589,2017-05-30T04:53:07Z
5587780,TheDutchMan13,1330847,7,49091589,2017-05-30T04:53:07Z
5587973,TheDutchMan13,1330847,5,49092404,2017-05-30T05:39:44Z
5587975,TheDutchMan13,1330847,4,49092404,2017-05-30T05:39:44Z
5588097,TheDutchMan13,1330847,7,89143910,2020-08-09T05:15:26Z
5588135,TheDutchMan13,1330847,7,89143910,2020-08-09T05:15:26Z
5588147,Hoodzow,6445267,5,50936153,2017-08-08T07:51:53Z
5588149,Hoodzow,6445267,5,50923372,2017-08-07T17:20:56Z
5588150,Hoodzow,6445267,5,50923372,2017-08-07T17:21:20Z
5588151,Hoodzow,6445267,5,50960549,2017-08-09T05:48:50Z
5588199,Dr Kludge,292665,8,28900374,2015-02-17T04:33:44Z
5588247,TheDutchMan13,1330847,6,49091589,2017-05-30T04:53:09Z
5588248,Dr Kludge,292665,6,28900374,2015-02-17T04:31:09Z
5588271,TheDutchMan13,1330847,6,89010461,2020-08-06T04:28:37Z
5588273,HJUdall,10521928,6,82846273,2020-03-30T23:30:52Z
5588275,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:11Z
5588310,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:48Z
5588363,Dr Kludge,292665,5,28900374,2015-02-17T04:31:15Z
5588436,TheDutchMan13,1330847,5,49092404,2017-05-30T05:39:48Z
5588528,AJ Riley,157922,2,12704554,2012-08-12T17:41:19Z
5588534,AJ Riley,157922,2,12704554,2012-08-12T17:41:23Z
5588546,AJ Riley,157922,2,12704554,2012-08-12T17:41:26Z
5588548,TheDutchMan13,1330847,6,89010461,2020-08-06T04:28:37Z
5588554,AJ Riley,157922,2,12704554,2012-08-12T17:41:33Z
5588564,AJ Riley,157922,3,12704554,2012-08-12T17:41:36Z
5588572,AJ Riley,157922,2,12704554,2012-08-12T17:42:08Z
5588867,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:48Z
5588934,Adam Martin,1539368,5,38206527,2016-03-31T18:20:06Z
5589110,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:48Z
5589112,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:48Z
5589137,rekulc1,10114014,5,81450547,2020-02-25T10:49:12Z
5589261,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:49Z
5589320,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:49Z
5589410,TheDutchMan13,1330847,6,49091589,2017-05-30T04:53:19Z
5589411,HJUdall,10521928,9,85120527,2020-05-13T05:45:03Z
5589413,TheDutchMan13,1330847,4,49091589,2017-05-30T04:53:19Z
5589414,troyras673,5661173,7,54945661,2017-12-27T04:12:14Z
5589445,Dr Kludge,292665,3,29984670,2015-04-05T03:44:18Z
5589455,TheDutchMan13,1330847,4,49092404,2017-05-30T05:39:56Z
5589717,ashradha,10271429,11,89382624,2020-08-14T03:48:03Z
5589719,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:49Z
5589803,TheDutchMan13,1330847,8,49092404,2017-05-30T05:39:58Z
5589823,TheDutchMan13,1330847,5,69893594,2019-05-05T03:39:14Z
5589827,TheDutchMan13,1330847,4,49092404,2017-05-30T05:39:58Z
5589906,srygy,10192136,8,84253580,2020-04-28T09:19:03Z
5589915,TheDutchMan13,1330847,10,89143910,2020-08-09T05:15:26Z
5589951,TheDutchMan13,1330847,7,89143910,2020-08-09T05:15:26Z
5589960,TheDutchMan13,1330847,6,49092404,2017-05-30T05:40:00Z
5589961,TheDutchMan13,1330847,6,49092404,2017-05-30T05:40:00Z
5590076,TheDutchMan13,1330847,7,36059932,2015-12-20T07:22:29Z
5590287,Dr Kludge,292665,4,28900374,2015-02-17T04:27:57Z
5590405,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:50Z
5590408,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:50Z
5590620,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:50Z
5590666,TheDutchMan13,1330847,14,88895375,2020-08-03T21:15:40Z
5590876,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:50Z
5590878,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:50Z
5591245,syrah1,10271458,60,90934637,2020-09-15T15:24:13Z
5591255,TheDutchMan13,1330847,8,89143910,2020-08-09T05:15:26Z
5591256,TheDutchMan13,1330847,6,89143910,2020-08-09T05:15:26Z
5591533,ErichRitz,7531901,4,81740910,2020-03-03T18:38:43Z
5591611,TheDutchMan13,1330847,5,49092404,2017-05-30T05:40:07Z
5591665,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:51Z
5591744,TheDutchMan13,1330847,4,48807087,2017-05-19T01:00:15Z
5591751,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:51Z
5591874,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:51Z
5591876,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:51Z
5591914,TheDutchMan13,1330847,6,49092404,2017-05-30T05:40:09Z
5592063,rekulc1,10114014,6,81450547,2020-02-25T10:49:12Z
5592140,AJ Riley,157922,3,12748885,2012-08-16T10:31:49Z
5592146,vaidhev,10145809,7,75987118,2019-10-21T10:04:32Z
5592157,Dr Kludge,292665,3,29984670,2015-04-05T03:43:49Z
5592242,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:51Z
5592243,TheDutchMan13,1330847,7,88827848,2020-08-02T01:17:20Z
5592245,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:51Z
5592323,bs_42,10041554,9,70745671,2019-05-29T19:30:19Z
5592453,TheDutchMan13,1330847,5,49092404,2017-05-30T05:40:14Z
5592529,TheDutchMan13,1330847,4,49092404,2017-05-30T05:40:14Z
5592530,TheDutchMan13,1330847,4,26816751,2014-11-16T08:58:41Z
5592531,TheDutchMan13,1330847,6,49090161,2017-05-30T03:06:51Z
5592543,TheDutchMan13,1330847,10,49091589,2017-05-30T04:53:37Z
5592546,TheDutchMan13,1330847,6,49091589,2017-05-30T04:53:37Z
5592548,TheDutchMan13,1330847,6,49091589,2017-05-30T04:53:37Z
5592627,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:52Z
5592821,Dr Kludge,292665,5,77192908,2019-11-17T16:10:42Z
5592850,TheDutchMan13,1330847,8,49092404,2017-05-30T05:40:17Z
5592880,TheDutchMan13,1330847,4,49092404,2017-05-30T05:40:18Z
5592883,Dr Kludge,292665,4,28900374,2015-02-17T04:33:56Z
5593073,Dr Kludge,292665,6,28900374,2015-02-17T04:31:09Z
5593268,Dr Kludge,292665,4,28900374,2015-02-17T04:31:01Z
5593323,TheDutchMan13,1330847,6,33631272,2015-08-27T21:20:24Z
5593377,Dr Kludge,292665,5,28900374,2015-02-17T04:31:03Z
5593384,AJ Riley,157922,4,12576189,2012-08-01T16:22:08Z
5593422,TheDutchMan13,1330847,5,49090161,2017-05-30T03:06:52Z
5593696,TheDutchMan13,1330847,4,49090161,2017-05-30T03:06:52Z
5593817,TheDutchMan13,1330847,7,89143910,2020-08-09T05:15:26Z
5594143,TheDutchMan13,1330847,5,48807087,2017-05-19T01:00:17Z
5594230,TheDutchMan13,1330847,5,49092404,2017-05-30T05:40:24Z
